address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"3001 FERNWOOD AV 104, Ann Arbor, MI",42.244822,-83.693322,1,rooftop,3001,"Fernwood Av 104",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Washtenaw
"3430 CHELSEA CIR, Ann Arbor, MI",42.238082,-83.715151,1,range_interpolation,3430,"Chelsea Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1340 ASTOR AVE, Ann Arbor, MI",42.256276,-83.732808,1,rooftop,1340,"Astor Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"2435 LAURELWOOD CIR, Ann Arbor, MI",42.232639,-83.71247,1,range_interpolation,2435,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2804 BRAEBURN CIR, Ann Arbor, MI",42.234653,-83.708269,1,range_interpolation,2804,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"438 S FIFTH AV, Ann Arbor, MI",42.276599,-83.746656,1,rooftop,438,"S 5th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1863 POINTE CROSSING, Ann Arbor, MI",42.300679,-83.723383,1,range_interpolation,1863,"Pointe Crossing St",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3028 WILLIAMSBURG DR, Ann Arbor, MI",42.234393,-83.695404,0.67,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"3079 WILLIAMSBURG DR, Ann Arbor, MI",42.235229,-83.69676,0.6,range_interpolation,3079,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3641 PARTRIDGE PATH, Ann Arbor, MI",42.23326,-83.723316,1,range_interpolation,3641,"Partridge Path",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3373 BRAEBURN CIR, Ann Arbor, MI",42.233595,-83.708823,0.9,range_interpolation,3373,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2829 BRAEBURN CIR, Ann Arbor, MI",42.232485,-83.708663,1,range_interpolation,2829,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"330 COLUMBUS DR, Ann Arbor, MI",42.288121,-83.795064,1,range_interpolation,330,"Columbus Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2601 Arrowwood Trl, Ann Arbor, MI",42.308582,-83.730935,1,range_interpolation,2601,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2555 BRAEBURN CIR, Ann Arbor, MI",42.230166,-83.706565,1,range_interpolation,2555,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2688 ARROWWOOD TRL, Ann Arbor, MI",42.308472,-83.729746,1,range_interpolation,2688,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"1140 NIELSEN CT, Ann Arbor, MI",42.290564,-83.734425,1,rooftop,1140,"Nielsen Ct",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Semcog
"2771 Arrowwood Trl, Ann Arbor, MI",42.307761,-83.729016,1,range_interpolation,2771,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2939 CASCADE DR, Ann Arbor, MI",42.246135,-83.702062,1,range_interpolation,2939,"Cascade Dr",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2403 PACKARD ST 38D, Ann Arbor, MI",42.253719,-83.723658,1,rooftop,2403,"Packard St 38D",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2800 Braeburn Cir, Ann Arbor, MI",42.234649,-83.708279,1,range_interpolation,2800,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2787 Arrowwood Trl, Ann Arbor, MI",42.307561,-83.729134,1,range_interpolation,2787,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2564 ARROWWOOD TRL, Ann Arbor, MI",42.308695,-83.73155,1,range_interpolation,2564,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2741 Arrowwood Trl, Ann Arbor, MI",42.308206,-83.728983,1,range_interpolation,2741,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3216 BRAEBURN CIR, Ann Arbor, MI",42.234643,-83.708292,1,range_interpolation,3216,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3096 WILLIAMSBURG DR, Ann Arbor, MI",42.23491,-83.696902,0.6,range_interpolation,3096,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2969 CASCADE DR, Ann Arbor, MI",42.246027,-83.701721,1,range_interpolation,2969,"Cascade Dr",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2212 SHADOWOOD DR, Ann Arbor, MI",42.232141,-83.714357,1,range_interpolation,2212,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2210 Hemlock Ct, Ann Arbor, MI",42.232953,-83.710564,1,range_interpolation,2210,"Hemlock Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3109 BRAEBURN CIR, Ann Arbor, MI",42.234476,-83.708968,1,range_interpolation,3109,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2493 LAURELWOOD CIR, Ann Arbor, MI",42.233223,-83.711627,1,range_interpolation,2493,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2442 LAURELWOOD CIR, Ann Arbor, MI",42.232328,-83.712263,1,range_interpolation,2442,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"607 CHURCH ST, Ann Arbor, MI",42.274945,-83.734429,1,range_interpolation,607,"Church St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2380 Arrowwood Trl, Ann Arbor, MI",42.30765,-83.733596,1,range_interpolation,2380,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2322 JONATHAN CT, Ann Arbor, MI",42.231265,-83.710915,1,range_interpolation,2322,"Jonathan Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3208 WILLIAMSBURG DR, Ann Arbor, MI",42.235214,-83.696198,0.6,range_interpolation,3208,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2753 ADRIENNE DR, Ann Arbor, MI",42.268818,-83.780492,1,range_interpolation,2753,"Adrienne Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"201 S FIRST ST, Ann Arbor, MI",42.28072,-83.750995,1,range_interpolation,201,"S 1st St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 8C, Ann Arbor, MI",42.278061,-83.742415,1,rooftop,555,"E William St 8C",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2885 Braeburn Cir, Ann Arbor, MI",42.232956,-83.709049,1,range_interpolation,2885,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3054 BRAEBURN CIR, Ann Arbor, MI",42.234812,-83.708654,1,range_interpolation,3054,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 21I, Ann Arbor, MI",42.277975,-83.742331,1,rooftop,555,"E William St 21I",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1307 KAY PKY, Ann Arbor, MI",42.266095,-83.767335,1,rooftop,1307,"Kay Pkwy",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"2202 HEMLOCK CT, Ann Arbor, MI",42.233121,-83.710545,1,range_interpolation,2202,"Hemlock Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2482 Arrowwood Trl, Ann Arbor, MI",42.308596,-83.732482,1,range_interpolation,2482,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2539 SANDALWOOD CIR, Ann Arbor, MI",42.308586,-83.709041,1,range_interpolation,2539,"Sandalwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3520 PHEASANT RUN CIR, Ann Arbor, MI",42.235162,-83.722159,1,range_interpolation,3520,"Pheasant Run Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2912 BIRCH HOLLOW DR, Ann Arbor, MI",42.238867,-83.724059,1,range_interpolation,2912,"Birch Hollow Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2554 Arrowwood Trl, Ann Arbor, MI",42.308753,-83.731639,1,range_interpolation,2554,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2874 BRAEBURN CIR, Ann Arbor, MI",42.23466,-83.708095,1,range_interpolation,2874,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3135 Braeburn Cir, Ann Arbor, MI",42.234476,-83.708968,1,range_interpolation,3135,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2220 MILLER AVE 1, Ann Arbor, MI",42.293973,-83.777754,1,rooftop,2220,"Miller Ave",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Washtenaw
"2343 SHADOWOOD DR, Ann Arbor, MI",42.233098,-83.713192,1,range_interpolation,2343,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 22H, Ann Arbor, MI",42.278,-83.742401,1,rooftop,555,"E William St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"2941 BRAEBURN CIR, Ann Arbor, MI",42.233666,-83.709118,1,range_interpolation,2941,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3119 BRAEBURN CIR, Ann Arbor, MI",42.233805,-83.709091,1,range_interpolation,3119,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3499 BRAEBURN CIR, Ann Arbor, MI",42.234811,-83.707965,0.6,street_center,,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1725 HATCHER CRS, Ann Arbor, MI",42.297159,-83.773805,1,rooftop,1725,"Hatcher Crs",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"2215 PACKARD ST, Ann Arbor, MI",42.25564,-83.726258,1,range_interpolation,2215,"Packard St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2323 Arrowwood Trl, Ann Arbor, MI",42.307752,-83.734651,1,range_interpolation,2323,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"294 COLUMBUS DR, Ann Arbor, MI",42.288302,-83.795076,1,range_interpolation,294,"Columbus Dr",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 19L, Ann Arbor, MI",42.277972,-83.742576,1,rooftop,555,"E William St 19L",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2699 ARROWWOOD TRL, Ann Arbor, MI",42.308704,-83.729482,1,range_interpolation,2699,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 20B, Ann Arbor, MI",42.27806,-83.742496,1,rooftop,555,"E William St 20B",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2452 Arrowwood Trl, Ann Arbor, MI",42.308258,-83.732671,1,range_interpolation,2452,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2653 ARROWWOOD TRL, Ann Arbor, MI",42.308616,-83.730327,1,range_interpolation,2653,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2394 JOHNATHON CT, Ann Arbor, MI",42.230141,-83.710446,1,range_interpolation,2394,"Jonathan Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"637 N FOURTH AV, Ann Arbor, MI",42.286624,-83.747236,1,rooftop,637,"N 4th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Semcog
"2512 2514 Pittsfield Blvd, Ann Arbor, MI",42.250818,-83.692928,1,range_interpolation,2514,"Pittsfield Blvd",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"211 N FOURTH AVE, Ann Arbor, MI",42.282399,-83.747335,1,range_interpolation,211,"N 4th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"3269 Braeburn Cir, Ann Arbor, MI",42.234659,-83.708127,0.9,range_interpolation,3269,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3103 HOMESTEAD COMMONS DR, Ann Arbor, MI",42.243083,-83.716496,1,range_interpolation,3103,"Homestead Commons Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2654 SEQUOIA PKY, Ann Arbor, MI",42.293167,-83.784559,1,rooftop,2654,"Sequoia Pkwy",,,"Ann Arbor",MI,"Washtenaw County",48103,US,Semcog
"2382 Jonathan Ct, Ann Arbor, MI",42.230396,-83.71045,1,range_interpolation,2382,"Jonathan Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3433 3439 Richard St, Ann Arbor, MI",42.251093,-83.691204,1,rooftop,3439,"Richard St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2393 Arrowwood Trl, Ann Arbor, MI",42.307973,-83.733626,1,range_interpolation,2393,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3087 WILLIAMSBURG DR, Ann Arbor, MI",42.235488,-83.696322,0.6,range_interpolation,3087,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2348 SHADOWOOD DR, Ann Arbor, MI",42.232353,-83.713561,1,range_interpolation,2348,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2322 Arrowwood Trl, Ann Arbor, MI",42.307453,-83.734656,1,range_interpolation,2322,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2706 Arrowwood Trl, Ann Arbor, MI",42.308399,-83.729554,1,range_interpolation,2706,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2651 2657 Whitewood St, Ann Arbor, MI",42.247909,-83.690597,1,rooftop,2657,"Whitewood St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2678 Arrowwood Trl, Ann Arbor, MI",42.308481,-83.72986,1,range_interpolation,2678,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2685 Arrowwood Trl, Ann Arbor, MI",42.308773,-83.729707,1,range_interpolation,2685,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3151 Braeburn Cir, Ann Arbor, MI",42.233265,-83.708969,1,range_interpolation,3151,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2430 ARROWWOOD TRL, Ann Arbor, MI",42.308027,-83.732882,1,range_interpolation,2430,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3092 Williamsburg Dr, Ann Arbor, MI",42.234906,-83.69692,0.6,range_interpolation,3092,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3105 Williamsburg Dr, Ann Arbor, MI",42.235735,-83.696271,0.6,range_interpolation,3105,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2667 Braeburn Cir, Ann Arbor, MI",42.231593,-83.707398,1,range_interpolation,2667,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3351 Braeburn Cir, Ann Arbor, MI",42.233446,-83.708838,0.9,range_interpolation,3351,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2328 JONATHAN CT, Ann Arbor, MI",42.231256,-83.710788,1,range_interpolation,2328,"Jonathan Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"1533 PINE VALLEY BLVD, Ann Arbor, MI",42.251037,-83.725063,1,range_interpolation,1533,"Pine Valley Blvd",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"2631 ARROWWOOD TRL, Ann Arbor, MI",42.308534,-83.730588,1,range_interpolation,2631,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2248 Shadowood Dr, Ann Arbor, MI",42.232074,-83.714371,1,range_interpolation,2248,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 15G, Ann Arbor, MI",42.277977,-83.742168,1,rooftop,555,"E William St 15G",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2940 BIRCH HOLLOW DR, Ann Arbor, MI",42.238574,-83.72281,1,range_interpolation,2940,"Birch Hollow Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3501 PHEASANT RUN CIR, Ann Arbor, MI",42.23527,-83.72133,1,range_interpolation,3501,"Pheasant Run Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3052 CHELSEA CIR, Ann Arbor, MI",42.240619,-83.713685,1,range_interpolation,3052,"Chelsea Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2615 BRAEBURN CIR, Ann Arbor, MI",42.2344,-83.708657,0.9,range_interpolation,2615,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2464 ARROWWOOD TRL, Ann Arbor, MI",42.308432,-83.732574,1,range_interpolation,2464,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2486 LAURELWOOD CIR, Ann Arbor, MI",42.233047,-83.711375,1,range_interpolation,2486,"Laurelwood Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2392 ARROWWOOD TRL, Ann Arbor, MI",42.307732,-83.733447,1,range_interpolation,2392,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3043 WILLIAMSBURG DR, Ann Arbor, MI",42.234393,-83.695404,0.74,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"555 E WILLIAM ST 26E, Ann Arbor, MI",42.278063,-83.742251,1,rooftop,555,"E William St 26E",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"2318 SHADOWOOD DR, Ann Arbor, MI",42.232105,-83.71364,1,range_interpolation,2318,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3057 WILLIAMSBURG DR, Ann Arbor, MI",42.234393,-83.695404,0.61,nearest_rooftop_match,3001,"Williamsburg Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,Semcog
"2243 HEMLOCK CT, Ann Arbor, MI",42.232247,-83.710344,1,range_interpolation,2243,"Hemlock Ct",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"930 FOUNTAIN ST, Ann Arbor, MI",42.290186,-83.753977,1,range_interpolation,930,"Fountain St",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
